InputID,TargetID,Distance
10,2,3845.071732
10,3,5823.952843
10,0,4202.797992
10,1,5675.671782
10,6,3788.911448
10,7,461.8574841
10,4,4295.096111
10,5,2533.86627
10,8,1141.167044
10,9,496.8406173
9,2,3414.575432
9,3,5327.166112
9,0,3706.707212
9,1,5183.759797
9,6,3308.433367
9,7,574.1562674
9,4,3798.752053
9,5,2168.804033
9,10,496.8406173
9,8,740.6454363
8,2,2703.904851
8,3,4856.07382
8,0,3206.317387
8,1,4622.837333
8,6,2697.970978
8,7,1314.018028
8,4,3361.84977
8,5,1428.20523
8,10,1141.167044
8,9,740.6454363
7,2,3963.27035
7,3,5703.45836
7,0,4119.015068
7,1,5623.531617
7,6,3794.78178
7,4,4168.220016
7,5,2742.1293
7,10,461.8574841
7,8,1314.018028
7,9,574.1562674
6,2,951.1115916
6,3,2357.850007
6,0,857.5837784
6,1,1949.005801
6,7,3794.78178
6,4,1242.239978
6,5,1836.650605
6,10,3788.911448
6,8,2697.970978
6,9,3308.433367
5,2,1434.696777
5,3,4193.319262
5,0,2609.247468
5,1,3740.053062
5,6,1836.650605
5,7,2742.1293
5,4,2912.201893
5,10,2533.86627
5,8,1428.20523
5,9,2168.804033
4,2,2181.697452
4,3,1535.239228
4,0,408.300916
4,1,1632.605963
4,6,1242.239978
4,7,4168.220016
4,5,2912.201893
4,10,4295.096111
4,8,3361.84977
4,9,3798.752053
3,2,3078.286752
3,0,1653.393925
3,1,867.2969472
3,6,2357.850007
3,7,5703.45836
3,4,1535.239228
3,5,4193.319262
3,10,5823.952843
3,8,4856.07382
3,9,5327.166112
2,3,3078.286752
2,0,1782.559515
2,1,2463.697551
2,6,951.1115916
2,7,3963.27035
2,4,2181.697452
2,5,1434.696777
2,10,3845.071732
2,8,2703.904851
2,9,3414.575432
1,2,2463.697551
1,3,867.2969472
1,0,1527.716669
1,6,1949.005801
1,7,5623.531617
1,4,1632.605963
1,5,3740.053062
1,10,5675.671782
1,8,4622.837333
1,9,5183.759797
0,2,1782.559515
0,3,1653.393925
0,1,1527.716669
0,6,857.5837784
0,7,4119.015068
0,4,408.300916
0,5,2609.247468
0,10,4202.797992
0,8,3206.317387
0,9,3706.707212
